"customer_id","gender","age","married","state","number_of_referrals","tenure_in_months","value_deal","multiple_lines","internet_type","online_security","online_backup","device_protection_plan","premium_support","streaming_tv","streaming_movies","streaming_music","unlimited_data","contract","paperless_billing","payment_method","monthly_charge","total_charges","total_revenue","customer_status","churn_category","churn_reason"
"19877-DEL","Male",35,"No","Delhi",7,27,"None","No","Cable","No","Yes","No","Yes","Yes","No","No","Yes","One Year","Yes","Credit Card","65.60","593.30","974.81","Stayed","Others","Others"
"58353-MAH","Female",45,"Yes","Maharashtra",14,13,"None","Yes","Cable","No","No","No","No","No","Yes","Yes","No","Month-to-Month","No","Credit Card","-4.00","542.40","610.28","Stayed","Others","Others"
"25063-WES","Male",51,"No","West Bengal",4,35,"Deal 5","No","Fiber Optic","No","No","Yes","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal","73.90","280.85","415.45","Churned","Competitor","Competitor had better devices"
"59787-KAR","Male",79,"No","Karnataka",3,21,"Deal 4","No","Fiber Optic","No","Yes","Yes","No","Yes","Yes","No","Yes","Month-to-Month","Yes","Bank Withdrawal","98.00","1237.85","1599.51","Churned","Dissatisfaction","Product dissatisfaction"
"28544-TAM","Female",80,"No","Tamil Nadu",3,8,"None","No","Fiber Optic","No","No","No","Yes","Yes","No","No","Yes","Month-to-Month","Yes","Credit Card","83.90","267.40","289.54","Churned","Dissatisfaction","Network reliability"
"32750-TEL","Male",24,"No","Telangana",9,2,"Deal 5","No","Cable","No","No","No","Yes","Yes","Yes","Yes","Yes","Month-to-Month","Yes","Credit Card","69.40","571.45","722.38","Stayed","Others","Others"
"84741-MAH","Female",66,"Yes","Maharashtra",9,23,"Deal 1","No","Fiber Optic","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Two Year","Yes","Bank Withdrawal","109.70","7904.25","8611.41","Stayed","Others","Others"
"65618-GUJ","Male",51,"Yes","Gujarat",12,24,"Deal 2","Yes","Fiber Optic","Yes","No","No","Yes","No","No","No","No","Two Year","Yes","Credit Card","84.65","5377.80","6214.28","Stayed","Others","Others"
"64233-GUJ","Female",63,"No","Gujarat",4,10,"Deal 5","No","DSL","Yes","No","No","No","No","No","No","Yes","Two Year","Yes","Bank Withdrawal","48.20","340.35","414.06","Stayed","Others","Others"
"23612-UTT","Female",41,"No","Uttar Pradesh",3,1,"None","Yes","Cable","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Two Year","Yes","Credit Card","90.45","5957.90","7807.80","Stayed","Others","Others"
"45397-RAJ","Male",48,"Yes","Rajasthan",0,1,"None","No","Cable","Yes","No","No","Yes","Yes","No","No","Yes","Two Year","No","Credit Card","45.20","2460.55","2460.55","Stayed","Others","Others"
"53023-UTT","Male",26,"Yes","Uttar Pradesh",6,22,"None","Yes","Fiber Optic","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Two Year","Yes","Credit Card","116.80","8456.75","9609.47","Stayed","Others","Others"
"13717-UTT","Male",56,"Yes","Uttar Pradesh",15,26,"None","No","Fiber Optic","No","No","No","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal","68.95","351.50","444.75","Stayed","Others","Others"
"71897-MAH","Female",36,"Yes","Maharashtra",8,6,"Deal 1","Yes","Fiber Optic","Yes","Yes","Yes","No","Yes","No","No","Yes","Two Year","Yes","Bank Withdrawal","101.30","7261.25","7423.25","Stayed","Others","Others"
"15776-UTT","Female",38,"Yes","Uttar Pradesh",1,19,"None","No","DSL","Yes","Yes","Yes","Yes","No","No","No","Yes","Two Year","No","Bank Withdrawal","45.05","2560.10","2560.10","Stayed","Others","Others"
"56731-BIH","Female",53,"Yes","Bihar",5,8,"Deal 1","Yes","Fiber Optic","No","Yes","Yes","No","No","Yes","Yes","Yes","Two Year","Yes","Credit Card","95.75","6849.40","8784.86","Stayed","Others","Others"
"49302-GUJ","Female",47,"No","Gujarat",14,4,"None","No","DSL","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","One Year","No","Credit Card","61.25","1993.20","1993.20","Stayed","Others","Others"
"73360-AND","Female",74,"No","Andhra Pradesh",0,30,"None","No","DSL","Yes","No","Yes","No","No","Yes","No","Yes","One Year","No","Credit Card","62.70","2791.50","3271.65","Churned","Dissatisfaction","Limited range of services"
"36756-MAD","Male",64,"Yes","Madhya Pradesh",15,33,"None","No","Cable","No","No","No","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal","25.10","25.10","25.10","Churned","Competitor","Competitor made better offer"
"11925-MAH","Female",78,"Yes","Maharashtra",12,12,"None","Yes","None","No","No","No","No","No","No","No","No","One Year","No","Bank Withdrawal","25.20","1306.30","2877.80","Stayed","Others","Others"
"87346-MAD","Female",29,"Yes","Madhya Pradesh",12,20,"None","Yes","Fiber Optic","No","Yes","Yes","No","Yes","No","No","Yes","Month-to-Month","No","Bank Withdrawal","94.10","1215.60","1781.88","Churned","Other","Don't know"
"86818-MAH","Female",29,"Yes","Maharashtra",8,22,"Deal 4","Yes","Fiber Optic","No","No","No","No","Yes","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal","83.75","1849.95","2652.88","Stayed","Others","Others"
"65431-CHH","Female",31,"No","Chhattisgarh",12,24,"Deal 5","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card","20.35","76.35","126.07","Churned","Price","Long distance charges"
"13829-PUN","Female",34,"Yes","Punjab",12,26,"None","No","DSL","Yes","No","No","No","No","No","No","Yes","Month-to-Month","No","Bank Withdrawal","30.50","30.50","30.50","Churned","Attitude","Attitude of service provider"
"19279-UTT","Female",35,"No","Uttar Pradesh",14,18,"None","No","Fiber Optic","No","Yes","Yes","Yes","Yes","Yes","Yes","No","One Year","Yes","Bank Withdrawal","103.70","5656.75","7603.95","Stayed","Others","Others"
"27129-TAM","Male",44,"Yes","Tamil Nadu",0,23,"None","No","None","No","No","No","No","No","No","No","No","Two Year","No","Credit Card","20.40","1090.60","2154.40","Stayed","Others","Others"
"81327-JHA","Female",69,"Yes","Jharkhand",6,3,"Deal 3","No","None","No","No","No","No","No","No","No","No","One Year","Yes","Bank Withdrawal","19.60","471.85","1430.80","Stayed","Others","Others"
"42012-UTT","Female",49,"No","Uttar Pradesh",8,2,"None","No","None","No","No","No","No","No","No","No","No","Two Year","No","Bank Withdrawal","19.70","1396.90","4045.81","Stayed","Others","Others"
"79321-MAH","Female",22,"Yes","Maharashtra",4,8,"Deal 3","No","Fiber Optic","No","No","No","No","Yes","Yes","Yes","Yes","One Year","No","Credit Card","91.20","3247.55","4838.92","Stayed","Others","Others"
"82811-HAR","Female",46,"Yes","Haryana",2,18,"Deal 2","No","None","No","No","No","No","No","No","No","No","One Year","No","Bank Withdrawal","20.45","900.90","3330.32","Stayed","Others","Others"
"36568-HAR","Male",26,"Yes","Haryana",7,8,"None","Yes","Fiber Optic","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","One Year","No","Bank Withdrawal","-2.00","7942.15","10830.97","Stayed","Others","Others"
"62683-UTT","Female",30,"No","Uttar Pradesh",12,20,"None","No","None","No","No","No","No","No","No","No","No","One Year","No","Bank Withdrawal","20.55","1343.40","2861.91","Stayed","Others","Others"
"18223-MAD","Male",32,"No","Madhya Pradesh",14,2,"None","No","Cable","Yes","No","Yes","Yes","No","No","No","Yes","Two Year","Yes","Credit Card","39.40","825.40","825.40","Stayed","Others","Others"
"41111-MAH","Female",32,"No","Maharashtra",10,8,"None","Yes","None","No","No","No","No","No","No","No","No","Two Year","Yes","Bank Withdrawal","25.10","1070.15","2387.67","Stayed","Others","Others"
"74542-MAH","Female",41,"No","Maharashtra",15,16,"Deal 2","Yes","Fiber Optic","Yes","No","No","No","Yes","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal","89.80","4959.60","5239.00","Stayed","Others","Others"
"18842-HAR","Male",56,"Yes","Haryana",2,30,"Deal 2","Yes","Fiber Optic","Yes","Yes","No","No","Yes","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal","94.75","5597.65","6564.66","Stayed","Others","Others"
"12210-DEL","Female",52,"No","Delhi",0,31,"None","No","None","No","No","No","No","No","No","No","No","Two Year","No","Bank Withdrawal","20.30","224.50","455.86","Stayed","Others","Others"
"65431-AND","Female",56,"Yes","Andhra Pradesh",9,2,"None","Yes","None","No","No","No","No","No","No","No","No","Two Year","Yes","Credit Card","24.15","1776.45","4511.01","Stayed","Others","Others"
