"customer_id","gender","age","married","state","number_of_referrals","tenure_in_months","value_deal","multiple_lines","internet_type","online_security","online_backup","device_protection_plan","premium_support","streaming_tv","streaming_movies","streaming_music","unlimited_data","contract","paperless_billing","payment_method","monthly_charge","total_charges","total_revenue","customer_status","churn_category","churn_reason"
"93520-GUJ","Female",67,"No","Gujarat",13,19,"Deal 5","Yes","Fiber Optic","No","No","No","No","No","No","No","Yes","One Year","Yes","Bank Withdrawal","72.10","72.10","79.87","Joined","Others","Others"
"57256-BIH","Female",18,"No","Bihar",9,7,"None","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card","19.85","57.20","66.56","Joined","Others","Others"
"72357-MAD","Female",53,"No","Madhya Pradesh",14,12,"Deal 5","No","DSL","No","No","No","No","No","No","No","Yes","Month-to-Month","Yes","Credit Card","44.30","44.30","87.25","Joined","Others","Others"
"66612-KAR","Female",58,"Yes","Karnataka",11,18,"None","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card","19.95","58.00","66.07","Joined","Others","Others"
"22119-WES","Male",31,"Yes","West Bengal",5,5,"None","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card","20.05","33.70","37.32","Joined","Others","Others"
"79168-UTT","Female",78,"No","Uttar Pradesh",2,10,"Deal 5","No","Cable","No","No","No","No","No","No","No","Yes","One Year","Yes","Bank Withdrawal","44.30","89.30","137.12","Joined","Others","Others"
"66712-GUJ","Female",47,"Yes","Gujarat",6,33,"Deal 5","No","Fiber Optic","No","Yes","No","No","No","Yes","Yes","Yes","Month-to-Month","No","Bank Withdrawal","84.30","235.05","276.21","Joined","Others","Others"
"53815-BIH","Female",36,"No","Bihar",2,4,"None","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card","19.70","19.70","53.98","Joined","Others","Others"
"34110-MAH","Female",20,"Yes","Maharashtra",6,3,"None","Yes","Cable","No","No","No","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal","50.10","50.10","79.23","Joined","Others","Others"
"12056-WES","Male",27,"No","West Bengal",2,20,"None","No","Fiber Optic","No","Yes","Yes","No","No","Yes","Yes","Yes","Month-to-Month","No","Bank Withdrawal","90.40","268.45","362.89","Joined","Others","Others"
"82129-JHA","Female",26,"No","Jharkhand",9,8,"Deal 5","No","DSL","No","Yes","No","No","Yes","No","No","Yes","Month-to-Month","Yes","Credit Card","58.70","168.60","203.01","Joined","Others","Others"
"27880-AND","Male",48,"No","Andhra Pradesh",14,21,"None","Yes","None","No","No","No","No","No","No","No","No","Two Year","Yes","Credit Card","26.40","121.25","222.86","Joined","Others","Others"
"39764-UTT","Female",39,"Yes","Uttar Pradesh",5,14,"None","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card","19.35","46.35","135.03","Joined","Others","Others"
"29626-WES","Male",67,"No","West Bengal",10,22,"Deal 5","No","DSL","Yes","No","No","No","No","No","No","No","Month-to-Month","No","Bank Withdrawal","50.15","50.15","138.48","Joined","Others","Others"
"47133-ODI","Female",60,"Yes","Odisha",15,8,"None","No","Cable","No","No","No","No","No","No","No","Yes","Month-to-Month","No","Bank Withdrawal","44.60","122.70","169.47","Joined","Others","Others"
"62842-HAR","Male",33,"Yes","Haryana",11,25,"None","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card","19.30","44.40","144.22","Joined","Others","Others"
"21288-MAH","Female",63,"No","Maharashtra",12,34,"None","Yes","DSL","No","No","No","No","Yes","No","No","No","Month-to-Month","Yes","Bank Withdrawal","60.25","170.50","300.80","Joined","Others","Others"
"83994-DEL","Male",48,"Yes","Delhi",8,24,"None","No","Fiber Optic","No","No","No","No","Yes","Yes","Yes","Yes","Month-to-Month","No","Credit Card","90.70","237.65","253.82","Joined","Others","Others"
"24754-AND","Female",63,"Yes","Andhra Pradesh",0,28,"None","No","Fiber Optic","No","No","No","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal","69.55","200.20","171.41","Joined","Others","Others"
"62497-BIH","Female",20,"No","Bihar",0,2,"Deal 5","No","None","No","No","No","No","No","No","No","No","Month-to-Month","Yes","Credit Card","20.75","67.10","116.27","Joined","Others","Others"
"24990-WES","Female",36,"No","West Bengal",8,24,"None","No","Fiber Optic","No","No","No","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal","71.65","135.75","193.81","Joined","Others","Others"
"26500-GUJ","Female",62,"Yes","Gujarat",3,19,"Deal 5","No","Cable","Yes","No","No","No","No","Yes","Yes","Yes","Month-to-Month","Yes","Mailed Check","62.15","113.10","209.88","Joined","Others","Others"
"17796-BIH","Female",65,"No","Bihar",5,1,"None","No","Cable","Yes","No","No","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal","48.45","48.45","64.87","Joined","Others","Others"
"21956-JHA","Female",59,"Yes","Jharkhand",10,8,"None","No","Fiber Optic","Yes","No","No","Yes","No","No","No","No","Month-to-Month","Yes","Credit Card","82.30","214.40","369.31","Joined","Others","Others"
"92198-DEL","Female",44,"Yes","Delhi",8,15,"Deal 5","No","None","No","No","No","No","No","No","No","No","Month-to-Month","Yes","Credit Card","20.25","20.25","48.43","Joined","Others","Others"
"79905-UTT","Female",24,"No","Uttar Pradesh",0,12,"None","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card","20.45","20.45","50.54","Joined","Others","Others"
"71509-HAR","Female",40,"No","Haryana",3,27,"None","No","DSL","No","No","No","No","Yes","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal","54.65","54.65","90.98","Joined","Others","Others"
"62535-AND","Male",42,"No","Andhra Pradesh",8,22,"Deal 5","No","Cable","No","No","No","Yes","Yes","Yes","Yes","Yes","Month-to-Month","No","Credit Card","70.70","225.65","300.77","Joined","Others","Others"
"45978-GUJ","Female",38,"Yes","Gujarat",2,19,"None","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card","20.75","44.20","99.54","Joined","Others","Others"
"91835-GUJ","Male",21,"Yes","Gujarat",12,5,"None","No","Cable","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Month-to-Month","Yes","Bank Withdrawal","75.50","75.50","81.13","Joined","Others","Others"
"98788-TAM","Male",58,"Yes","Tamil Nadu",4,16,"Deal 5","No","None","No","No","No","No","No","No","No","No","Month-to-Month","Yes","Mailed Check","20.05","39.25","52.95","Joined","Others","Others"
"48018-RAJ","Male",39,"No","Rajasthan",1,14,"None","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card","19.55","19.55","50.18","Joined","Others","Others"
"31601-DEL","Female",31,"Yes","Delhi",2,10,"None","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card","19.65","19.65","62.07","Joined","Others","Others"
"74651-WES","Female",30,"Yes","West Bengal",7,23,"None","No","DSL","No","Yes","No","No","No","No","No","Yes","Month-to-Month","No","Credit Card","29.20","98.50","98.50","Joined","Others","Others"
"42358-BIH","Female",53,"No","Bihar",9,35,"None","No","DSL","No","No","No","No","Yes","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal","54.20","140.40","264.54","Joined","Others","Others"
"71564-KAR","Female",48,"No","Karnataka",6,5,"None","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card","19.05","19.05","24.07","Joined","Others","Others"
"22137-KAR","Female",51,"No","Karnataka",4,28,"None","No","None","No","No","No","No","No","No","No","No","One Year","No","Credit Card","19.85","19.85","67.31","Joined","Others","Others"
"44709-WES","Female",72,"Yes","West Bengal",7,17,"None","No","DSL","No","Yes","No","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal","30.75","82.85","82.85","Joined","Others","Others"
"27856-UTT","Female",33,"Yes","Uttar Pradesh",1,32,"Deal 5","No","None","No","No","No","No","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal","19.25","19.25","28.69","Joined","Others","Others"
"26567-UTT","Female",67,"Yes","Uttar Pradesh",1,35,"None","No","None","No","No","No","No","No","No","No","No","Two Year","No","Credit Card","20.35","20.35","50.44","Joined","Others","Others"
"27465-JAM","Female",50,"No","Jammu & Kashmir",10,30,"None","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card","19.85","19.85","36.32","Joined","Others","Others"
"54195-MAH","Female",61,"Yes","Maharashtra",11,23,"None","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Bank Withdrawal","19.75","19.75","57.37","Joined","Others","Others"
"94978-PUN","Female",36,"No","Punjab",2,8,"None","No","None","No","No","No","No","No","No","No","No","One Year","Yes","Credit Card","19.45","69.25","77.59","Joined","Others","Others"
"38748-AND","Female",22,"Yes","Andhra Pradesh",13,6,"None","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Bank Withdrawal","19.65","19.65","47.53","Joined","Others","Others"
"78918-BIH","Female",59,"No","Bihar",12,11,"Deal 5","No","Fiber Optic","Yes","No","No","No","No","Yes","Yes","Yes","Month-to-Month","Yes","Credit Card","86.05","244.85","299.63","Joined","Others","Others"
"99515-ASS","Male",34,"No","Assam",11,11,"None","Yes","Cable","No","No","No","Yes","Yes","No","No","Yes","Month-to-Month","Yes","Credit Card","65.25","209.90","337.94","Joined","Others","Others"
"26902-TEL","Male",52,"Yes","Telangana",7,2,"None","No","Fiber Optic","No","No","No","Yes","Yes","Yes","Yes","Yes","Month-to-Month","Yes","Bank Withdrawal","95.85","95.85","98.55","Joined","Others","Others"
"97497-RAJ","Male",24,"Yes","Rajasthan",9,8,"Deal 5","No","DSL","No","Yes","No","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal","49.90","49.90","56.25","Joined","Others","Others"
"28317-MAD","Female",29,"Yes","Madhya Pradesh",14,6,"None","No","None","No","No","No","No","No","No","No","No","Two Year","No","Mailed Check","19.10","52.00","187.99","Joined","Others","Others"
"32063-UTT","Female",63,"Yes","Uttar Pradesh",6,31,"Deal 5","No","None","No","No","No","No","No","No","No","No","Month-to-Month","Yes","Credit Card","19.00","19.00","47.28","Joined","Others","Others"
"84843-MAD","Female",57,"Yes","Madhya Pradesh",11,8,"None","Yes","Fiber Optic","No","No","No","No","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal","75.10","75.10","79.63","Joined","Others","Others"
"43920-RAJ","Female",38,"No","Rajasthan",9,3,"Deal 5","No","Cable","Yes","No","No","No","No","No","No","Yes","Month-to-Month","No","Credit Card","49.90","49.90","58.90","Joined","Others","Others"
"94609-HAR","Female",45,"No","Haryana",1,11,"None","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card","19.65","60.65","151.67","Joined","Others","Others"
"48939-BIH","Female",38,"Yes","Bihar",1,6,"None","No","DSL","No","Yes","No","No","No","No","No","Yes","Month-to-Month","No","Bank Withdrawal","49.95","49.95","94.93","Joined","Others","Others"
"67882-UTT","Female",44,"No","Uttar Pradesh",3,16,"Deal 5","No","DSL","No","No","No","No","No","No","No","Yes","Month-to-Month","No","Bank Withdrawal","43.80","43.80","81.30","Joined","Others","Others"
"18015-ODI","Female",28,"Yes","Odisha",15,9,"None","No","DSL","No","No","No","Yes","No","No","No","Yes","Month-to-Month","Yes","Bank Withdrawal","49.90","49.90","64.83","Joined","Others","Others"
"12257-ASS","Female",39,"No","Assam",9,1,"None","No","None","No","No","No","No","No","No","No","No","Month-to-Month","Yes","Credit Card","19.55","19.55","29.75","Joined","Others","Others"
"78253-GUJ","Male",63,"No","Gujarat",13,30,"None","No","Fiber Optic","No","Yes","No","No","No","Yes","Yes","Yes","Month-to-Month","Yes","Bank Withdrawal","85.00","85.00","100.20","Joined","Others","Others"
"66868-HAR","Female",25,"Yes","Haryana",13,10,"None","No","Fiber Optic","No","No","No","No","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal","70.25","70.25","90.30","Joined","Others","Others"
"33776-BIH","Male",32,"Yes","Bihar",6,10,"None","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card","19.20","19.20","55.08","Joined","Others","Others"
"16931-BIH","Female",39,"Yes","Bihar",8,23,"Deal 5","No","None","No","No","No","No","No","No","No","No","Month-to-Month","Yes","Credit Card","19.30","19.30","27.96","Joined","Others","Others"
"74518-ODI","Female",27,"No","Odisha",13,13,"Deal 5","No","DSL","No","No","No","No","No","No","No","Yes","Month-to-Month","No","Bank Withdrawal","44.45","82.70","120.10","Joined","Others","Others"
"83486-MAH","Male",34,"No","Maharashtra",5,4,"Deal 5","No","Fiber Optic","No","No","Yes","No","No","No","No","Yes","Month-to-Month","No","Credit Card","75.35","75.35","114.24","Joined","Others","Others"
"38663-UTT","Male",42,"No","Uttar Pradesh",7,15,"Deal 5","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card","20.30","40.25","54.79","Joined","Others","Others"
"44655-TEL","Male",41,"Yes","Telangana",0,25,"None","No","DSL","No","No","No","Yes","No","No","No","Yes","Month-to-Month","Yes","Mailed Check","50.50","147.75","226.89","Joined","Others","Others"
"11751-TAM","Female",18,"No","Tamil Nadu",5,7,"Deal 5","No","DSL","No","No","No","No","No","No","No","Yes","Month-to-Month","No","Mailed Check","24.30","38.45","38.45","Joined","Others","Others"
"45213-AND","Female",25,"Yes","Andhra Pradesh",15,5,"Deal 5","No","Cable","Yes","No","No","No","No","Yes","Yes","Yes","Month-to-Month","Yes","Credit Card","61.20","125.95","190.07","Joined","Others","Others"
"21165-DEL","Female",38,"No","Delhi",2,32,"Deal 5","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card","19.95","38.15","107.29","Joined","Others","Others"
"83113-GUJ","Male",35,"No","Gujarat",8,30,"None","No","DSL","No","No","No","Yes","No","No","No","Yes","Month-to-Month","No","Credit Card","29.15","29.15","29.15","Joined","Others","Others"
"34319-UTT","Male",40,"Yes","Uttar Pradesh",12,25,"Deal 5","No","DSL","No","Yes","No","No","No","No","No","Yes","Month-to-Month","Yes","Credit Card","50.15","50.15","70.45","Joined","Others","Others"
"73044-KAR","Male",23,"Yes","Karnataka",15,5,"None","No","Fiber Optic","No","Yes","No","No","No","No","No","Yes","Month-to-Month","No","Credit Card","74.60","74.60","117.59","Joined","Others","Others"
"71689-PUN","Female",42,"Yes","Punjab",3,19,"None","No","DSL","No","No","No","No","No","No","No","Yes","Month-to-Month","No","Credit Card","43.95","43.95","89.54","Joined","Others","Others"
"78885-TAM","Female",43,"No","Tamil Nadu",2,5,"Deal 5","No","None","No","No","No","No","No","No","No","No","Month-to-Month","No","Credit Card","19.50","19.50","39.61","Joined","Others","Others"
"65987-TAM","Male",52,"Yes","Tamil Nadu",9,34,"Deal 5","Yes","DSL","Yes","Yes","No","No","No","No","No","Yes","Month-to-Month","No","Bank Withdrawal","61.15","61.15","78.22","Joined","Others","Others"
"94070-JAM","Female",21,"Yes","Jammu & Kashmir",8,3,"None","No","Fiber Optic","No","No","No","No","Yes","Yes","Yes","Yes","Month-to-Month","Yes","Bank Withdrawal","90.10","90.10","114.43","Joined","Others","Others"
"85031-RAJ","Female",60,"No","Rajasthan",1,4,"Deal 5","No","DSL","No","No","No","No","No","No","No","Yes","Month-to-Month","No","Bank Withdrawal","44.00","44.00","57.40","Joined","Others","Others"
